ID,target
0,1
1,2
2,2
3,1
4,0
5,1
6,2
7,1
8,0
9,0
10,2
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,1
21,1
22,2
23,0
24,0
25,0
26,1
27,1
28,1
29,0
30,2
31,1
32,1
33,2
34,0
35,0
36,1
37,2
38,2
39,2
40,1
41,0
42,1
43,0
44,1
45,2
46,2
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,2
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,2
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,2
86,2
87,1
88,1
89,1
90,2
91,0
92,1
93,1
94,1
95,2
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,2
106,1
107,1
108,0
109,0
110,2
111,0
112,1
113,2
114,2
115,0
116,0
117,1
118,2
119,1
120,1
121,2
122,0
123,0
124,0
125,0
126,2
127,1
128,1
129,1
130,1
131,1
132,2
133,0
134,1
135,2
136,1
137,1
138,2
139,1
140,1
141,2
142,1
143,1
144,0
145,2
146,2
147,1
148,2
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,2
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,2
187,2
188,2
189,1
190,1
191,0
192,1
193,2
194,1
195,0
196,2
197,0
198,1
199,1
200,1
201,2
202,0
203,0
204,2
205,2
206,2
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,2
217,2
218,2
219,0
220,0
221,2
222,2
223,0
224,2
225,2
226,1
227,1
228,1
229,2
230,2
231,2
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,1
240,2
241,0
242,2
243,1
244,0
245,2
246,1
247,2
248,1
249,2
250,1
251,1
252,0
253,1
254,0
255,0
256,1
257,2
258,1
259,1
260,1
261,2
262,1
263,0
264,2
265,2
266,2
267,0
268,2
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,2
279,2
280,1
281,1
282,0
283,0
284,2
285,0
286,0
287,0
288,0
289,1
290,2
291,0
292,1
293,1
294,0
295,1
296,1
297,1
298,2
299,1
300,1
301,0
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,2
311,2
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,2
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,1
330,2
331,0
332,1
333,0
334,1
335,2
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,2
348,2
349,1
350,0
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,1
364,2
365,2
366,0
367,0
368,1
369,0
370,1
371,2
372,1
373,1
374,2
375,0
376,2
377,1
378,2
379,1
380,1
381,2
382,0
383,1
384,1
385,0
386,2
387,2
388,2
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,1
397,2
398,1
399,1
400,0
401,0
402,0
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,2
411,2
412,2
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,0
422,1
423,1
424,2
425,0
426,0
427,1
428,1
429,0
430,2
431,2
432,1
433,2
434,1
435,0
436,1
437,0
438,2
439,2
440,1
441,2
442,1
443,1
444,2
445,0
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,1
461,2
462,1
463,0
464,1
465,1
466,1
467,1
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,2
478,1
479,1
480,1
481,2
482,0
483,0
484,2
485,0
486,1
487,2
488,1
489,1
490,2
491,2
492,1
493,1
494,2
495,1
496,0
497,1
498,2
499,2
500,1
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,2
510,2
511,2
512,2
513,1
514,1
515,1
516,2
517,0
518,2
519,1
520,2
521,1
522,1
523,1
524,1
525,0
526,1
527,0
528,1
529,1
530,1
531,1
532,2
533,2
534,0
535,1
536,0
537,2
538,0
539,1
540,2
541,1
542,1
543,1
544,0
545,1
546,2
547,2
548,2
549,2
550,0
551,1
552,2
553,1
554,0
555,1
556,2
557,1
558,2
559,1
560,1
561,0
562,1
563,0
564,2
565,1
566,1
567,2
568,1
569,2
570,0
571,0
572,1
573,1
574,2
575,0
576,1
577,0
578,1
579,2
580,0
581,2
582,1
583,0
584,1
585,1
586,2
587,2
588,1
589,2
590,0
591,0
592,2
593,1
594,2
595,0
596,0
597,1
598,1
599,1
600,1
601,0
602,0
603,1
604,1
605,1
606,2
607,1
608,1
609,1
610,2
611,2
612,1
613,0
614,1
615,0
616,0
617,1
618,0
619,1
620,2
621,1
622,0
623,1
624,2
625,1
626,1
627,2
628,1
629,2
630,2
631,2
632,1
633,1
634,1
635,2
636,1
637,1
638,1
639,2
640,1
641,1
642,2
643,1
644,1
645,1
646,1
647,2
648,0
649,1
650,0
651,2
652,0
653,1
654,2
655,2
656,2
657,1
658,1
659,0
660,2
661,0
662,1
663,0
664,1
665,1
666,2
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,2
675,2
676,0
677,2
678,1
679,1
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,1
695,1
696,1
697,2
698,0
699,2
700,0
701,2
702,1
703,2
704,2
705,0
706,1
707,1
708,1
709,2
710,1
711,1
712,2
713,2
714,1
715,1
716,1
717,2
718,1
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,1
734,1
735,0
736,0
737,0
738,1
739,1
740,1
741,1
742,1
743,2
744,1
745,0
746,0
747,1
748,1
749,1
750,2
751,2
752,1
753,1
754,0
755,1
756,2
757,1
758,0
759,1
760,1
761,0
762,2
763,1
764,0
765,1
766,0
767,2
768,0
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,2
785,2
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,0
805,2
806,2
807,1
808,1
809,0
810,1
811,0
812,1
813,2
814,0
815,1
816,1
817,2
818,1
819,2
820,0
821,2
822,2
823,0
824,0
825,2
826,1
827,0
828,2
829,1
830,1
831,1
832,1
833,2
834,0
835,1
836,0
837,1
838,2
839,1
840,1
841,1
842,0
843,2
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,1
855,1
856,1
857,1
858,2
859,2
860,1
861,2
862,1
863,2
864,1
865,2
866,0
867,1
868,2
869,2
870,2
871,1
872,0
873,1
874,2
875,2
876,2
877,0
878,0
879,0
880,1
881,1
882,0
883,1
884,2
885,1
886,0
887,0
888,0
889,2
890,1
891,2
892,1
893,0
894,0
895,1
896,1
897,1
898,0
899,1
900,1
901,1
902,2
903,2
904,2
905,1
906,0
907,0
908,1
909,2
910,1
911,2
912,0
913,1
914,0
915,1
916,1
917,1
918,2
919,1
920,2
921,1
922,2
923,2
924,2
925,1
926,2
927,2
928,2
929,0
930,1
931,0
932,2
933,1
934,1
935,1
936,0
937,1
938,0
939,1
940,1
941,2
942,1
943,0
944,1
945,1
946,2
947,2
948,1
949,1
950,0
951,1
952,2
953,1
954,1
955,1
956,0
957,1
958,1
959,1
960,1
961,0
962,1
963,1
